Timestamp,Open,High,Low,Close,Volume
2022-09-30,141.28,143.1,138.0,138.2,124925300
2022-09-29,146.1,146.72,140.68,142.48,128138200
2022-09-28,147.64,150.6414,144.84,149.84,146691400
2022-09-27,152.74,154.72,149.945,151.76,84442740
2022-09-26,149.66,153.7701,149.64,150.77,93339410
2022-09-23,151.19,151.47,148.56,150.43,96029910
2022-09-22,152.38,154.47,150.91,152.74,86652540
2022-09-21,157.34,158.74,153.6,153.72,101696800
2022-09-20,153.4,158.08,153.08,156.9,107689800
2022-09-19,149.31,154.56,149.1,154.48,81474250
2022-09-16,151.21,151.35,148.37,150.7,162278800
2022-09-15,154.65,155.24,151.38,152.37,90481110
2022-09-14,154.785,157.1,153.6106,155.31,87965410
2022-09-13,159.9,160.54,153.37,153.84,122656600
2022-09-12,159.59,164.26,159.3,163.43,104956000
2022-09-09,155.47,157.82,154.75,157.37,68081010
2022-09-08,154.64,156.36,152.68,154.46,84923850
2022-09-07,154.825,156.67,153.61,155.96,87449570
2022-09-06,156.47,157.09,153.69,154.53,73714840
2022-09-02,159.75,160.362,154.965,155.81,76957770
2022-09-01,156.64,158.42,154.67,157.96,74229900
2022-08-31,160.305,160.58,157.14,157.22,87991090
2022-08-30,162.13,162.56,157.72,158.91,77906200
2022-08-29,161.145,162.9,159.82,161.38,73313950
2022-08-26,170.57,171.05,163.56,163.62,78960980
2022-08-25,168.78,170.14,168.35,170.03,51218210
2022-08-24,167.32,168.11,166.245,167.53,53841520
2022-08-23,167.08,168.71,166.65,167.23,54147080
2022-08-22,169.69,169.86,167.135,167.57,69026810
2022-08-19,173.03,173.74,171.3101,171.52,70346300
2022-08-18,173.75,174.9,173.12,174.15,62290080
2022-08-17,172.77,176.15,172.57,174.55,79542040
2022-08-16,172.78,173.71,171.6618,173.03,56377050
2022-08-15,171.52,173.39,171.345,173.19,54091690
2022-08-12,169.82,172.17,169.4,172.1,68039380
2022-08-11,170.06,170.99,168.19,168.49,57149160
2022-08-10,167.68,169.34,166.9,169.24,70170540
2022-08-09,164.02,165.82,163.25,164.92,63135500
2022-08-08,166.37,167.81,164.2,164.87,60362340
2022-08-05,163.21,165.85,163.0,165.35,56696990
2022-08-04,166.005,167.19,164.43,165.81,55474140
2022-08-03,160.84,166.59,160.75,166.13,82507490
2022-08-02,160.1,162.41,159.63,160.01,59907030
2022-08-01,161.01,163.59,160.89,161.51,67829380
2022-07-29,161.24,163.63,159.5,162.51,101786900
2022-07-28,156.98,157.64,154.41,157.35,81378730
2022-07-27,152.58,157.33,152.16,156.79,78620690
2022-07-26,152.265,153.085,150.8,151.6,55138690
2022-07-25,154.01,155.04,152.28,152.95,53623950
2022-07-22,155.39,156.28,153.41,154.09,66675410
2022-07-21,154.5,155.57,151.94,155.35,65086640
2022-07-20,151.12,153.72,150.37,153.04,64823410
2022-07-19,147.92,151.23,146.91,151.0,82982370
2022-07-18,150.74,151.57,146.7,147.07,81420870
2022-07-15,149.78,150.86,148.2,150.17,76259930
2022-07-14,144.08,148.95,143.25,148.47,78140740
2022-07-13,142.99,146.45,142.1201,145.49,71185560
2022-07-12,145.76,148.45,145.05,145.86,77588760
2022-07-11,145.67,146.64,143.78,144.87,63305110
2022-07-08,145.265,147.55,145.0,147.04,64547800
2022-07-07,143.29,146.55,143.28,146.35,66253710
2022-07-06,141.355,144.12,141.08,142.92,74064250
2022-07-05,137.77,141.61,136.93,141.56,73429640
2022-07-01,136.04,139.04,135.66,138.93,71051550
2022-06-30,137.25,138.37,133.7737,136.72,98964470
2022-06-29,137.46,140.67,136.67,139.23,66242410
2022-06-28,142.13,143.422,137.325,137.44,67315330
2022-06-27,142.695,143.49,140.965,141.66,70207910
2022-06-24,139.9,141.91,139.77,141.66,89116840
2022-06-23,136.82,138.59,135.63,138.27,72433770
2022-06-22,134.79,137.76,133.91,135.35,73409230
2022-06-21,133.42,137.06,133.32,135.87,81000490
2022-06-17,130.065,133.079,129.81,131.56,134520300
2022-06-16,132.08,132.39,129.04,130.06,107961500
2022-06-15,134.29,137.34,132.16,135.43,91532970
2022-06-14,133.13,133.89,131.48,132.76,84784330
2022-06-13,132.87,135.2,131.44,131.88,122207100
2022-06-10,140.28,140.76,137.06,137.13,91566640
2022-06-09,147.08,147.95,142.53,142.64,69472980
2022-06-08,148.58,149.8697,147.46,147.96,53950200
2022-06-07,144.345,149.0,144.1,148.71,67808150
2022-06-06,147.03,148.5689,144.9,146.14,71598380
2022-06-03,146.9,147.97,144.46,145.38,88570290
2022-06-02,147.83,151.27,146.86,151.21,72348060
2022-06-01,149.9,151.74,147.68,148.71,74286640
2022-05-31,149.07,150.66,146.84,148.84,103718400
2022-05-27,145.39,149.68,145.26,149.64,90978500
2022-05-26,137.39,144.34,137.14,143.78,90601550
2022-05-25,138.43,141.785,138.34,140.52,92482700
2022-05-24,140.805,141.97,137.33,140.36,104132700
2022-05-23,137.79,143.26,137.65,143.11,117726300
2022-05-20,139.09,140.7,132.61,137.59,137426100
2022-05-19,139.88,141.66,136.6,137.35,136095600
2022-05-18,146.85,147.3601,139.9,140.82,109742900
2022-05-17,148.86,149.77,146.68,149.24,78336250
2022-05-16,145.55,147.5199,144.18,145.54,86643780
2022-05-13,144.59,148.105,143.11,147.11,113990900
2022-05-12,142.77,146.2,138.8,142.56,182602000
2022-05-11,153.5,155.45,145.81,146.5,142689800
2022-05-10,155.52,156.74,152.93,154.51,115366700
2022-05-09,154.925,155.83,151.49,152.06,131577900
2022-05-06,156.01,159.44,154.18,157.28,116124600
2022-05-05,163.85,164.08,154.95,156.77,130525300
2022-05-04,159.67,166.48,159.26,166.02,108256500
2022-05-03,158.15,160.71,156.32,159.48,88966530
2022-05-02,156.71,158.23,153.27,157.96,123055300
2022-04-29,161.84,166.2,157.25,157.65,131747600
2022-04-28,159.25,164.515,158.93,163.64,130216800
2022-04-27,155.91,159.79,155.38,156.57,88063190
2022-04-26,162.25,162.34,156.72,156.8,95623240
2022-04-25,161.12,163.17,158.46,162.88,96046380
2022-04-22,166.46,167.8699,161.5,161.79,84882420
2022-04-21,168.91,171.53,165.91,166.42,87227770
2022-04-20,168.76,168.88,166.1,167.23,67929810
2022-04-19,165.02,167.82,163.91,167.4,67723830
2022-04-18,163.92,166.5984,163.57,165.07,69023940
2022-04-14,170.62,171.27,165.04,165.29,75329380
2022-04-13,167.39,171.04,166.77,170.4,70618930
2022-04-12,168.02,169.87,166.64,167.66,79265180
2022-04-11,168.71,169.03,165.5,165.75,72246710
2022-04-08,171.78,171.78,169.2,170.09,76575510
2022-04-07,171.16,173.36,169.85,172.14,77594650
2022-04-06,172.36,173.63,170.13,171.83,89058780
2022-04-05,177.5,178.3,174.415,175.06,73401790
2022-04-04,174.57,178.49,174.44,178.44,76545980
2022-04-01,174.03,174.88,171.94,174.31,78751330
2022-03-31,177.84,178.03,174.4,174.61,103049300
2022-03-30,178.55,179.61,176.7,177.77,92633150
2022-03-29,176.69,179.01,176.34,178.96,100589400
2022-03-28,172.17,175.73,172.0,175.6,90371920
2022-03-25,173.88,175.28,172.75,174.72,80546160
2022-03-24,171.06,174.14,170.21,174.07,90131420
2022-03-23,167.99,172.64,167.65,170.21,98062670
2022-03-22,165.51,169.42,164.91,168.82,81532010
2022-03-21,163.51,166.35,163.015,165.38,95811350
2022-03-18,160.51,164.48,159.76,163.98,123511700
2022-03-17,158.61,161.0,157.63,160.62,75615380
2022-03-16,157.05,160.0,154.46,159.59,102300200
2022-03-15,150.9,155.57,150.38,155.09,92964300
2022-03-14,151.45,154.12,150.1,150.62,108732100
2022-03-11,158.93,159.28,154.5,154.73,96970100
2022-03-10,160.2,160.39,155.98,158.52,105342000
2022-03-09,161.475,163.41,159.41,162.95,91454910
2022-03-08,158.82,162.88,155.8,157.44,131148300
2022-03-07,163.36,165.02,159.04,159.3,96418850
2022-03-04,164.49,165.55,162.1,163.17,83819590
2022-03-03,168.47,168.91,165.55,166.23,76678440
2022-03-02,164.39,167.36,162.95,166.56,79724750
2022-03-01,164.695,166.6,161.97,163.2,83474430
2022-02-28,163.06,165.42,162.43,165.12,95056630
2022-02-25,163.84,165.12,160.8738,164.85,91974220
2022-02-24,152.58,162.85,152.0,162.74,141147500
2022-02-23,165.54,166.15,159.75,160.07,90009250
2022-02-22,164.98,166.69,162.15,164.32,91162760
2022-02-18,169.82,170.5413,166.19,167.3,82772670
2022-02-17,171.03,171.91,168.47,168.88,69589340
2022-02-16,171.85,173.34,170.05,172.55,61177400
2022-02-15,170.97,172.95,170.25,172.79,64286320
2022-02-14,167.37,169.58,166.56,168.88,86185530
2022-02-11,172.33,173.08,168.04,168.64,98670690
2022-02-10,174.14,175.48,171.55,172.12,90865900
2022-02-09,176.05,176.65,174.9,176.28,71285040
2022-02-08,171.73,175.35,171.43,174.83,74829220
2022-02-07,172.86,173.9458,170.95,171.66,77251200
2022-02-04,171.68,174.1,170.68,172.39,82465400
2022-02-03,174.48,176.2399,172.12,172.9,89418070
2022-02-02,174.745,175.88,173.33,175.84,84914260
2022-02-01,174.01,174.84,172.31,174.61,86213910
2022-01-31,170.16,175.0,169.51,174.78,115541600
2022-01-28,165.71,170.35,162.8,170.33,179935700
2022-01-27,162.45,163.84,158.28,159.22,121954600
2022-01-26,163.5,164.3894,157.82,159.69,108275300
2022-01-25,158.98,162.76,157.02,159.78,115798400
2022-01-24,160.02,162.3,154.7,161.62,162706700
2022-01-21,164.415,166.33,162.3,162.41,122848900
2022-01-20,166.98,169.68,164.18,164.51,91420520
2022-01-19,170.0,171.08,165.94,166.23,94814990
2022-01-18,171.51,172.54,169.405,169.8,91168730
2022-01-14,171.34,173.78,171.09,173.07,80440780
2022-01-13,175.78,176.62,171.79,172.19,84505760
2022-01-12,176.12,177.18,174.82,175.53,74805170
2022-01-11,172.32,175.18,170.82,175.08,76138310
2022-01-10,169.08,172.5,168.17,172.19,106765600
2022-01-07,172.89,174.14,171.03,172.17,86709150
2022-01-06,172.7,175.3,171.64,172.0,96903960
2022-01-05,179.61,180.17,174.64,174.92,94537600
2022-01-04,182.63,182.94,179.12,179.7,99310440
2022-01-03,177.83,182.88,177.71,182.01,104701200
2021-12-31,178.085,179.23,177.26,177.57,64062260
2021-12-30,179.47,180.57,178.09,178.2,59773010
2021-12-29,179.33,180.63,178.14,179.38,62348930
2021-12-28,180.16,181.33,178.53,179.29,79144340
2021-12-27,177.085,180.42,177.07,180.33,74919580
2021-12-23,175.85,176.8499,175.27,176.28,68356570
2021-12-22,173.04,175.86,172.15,175.64,92135300
2021-12-21,171.555,173.2,169.12,172.99,91185910
2021-12-20,168.28,170.58,167.46,169.75,107499100
2021-12-17,169.93,173.47,169.69,171.14,195923400
2021-12-16,179.28,181.14,170.75,172.26,150185800
2021-12-15,175.11,179.5,172.3108,179.3,131063300
2021-12-14,175.25,177.74,172.21,174.33,139380400
2021-12-13,181.115,182.13,175.53,175.74,153237000
2021-12-10,175.205,179.63,174.69,179.45,115402700
2021-12-09,174.91,176.75,173.92,174.56,108923700
2021-12-08,172.125,175.96,170.7,175.08,116998900
2021-12-07,169.08,171.58,168.34,171.18,120405400
2021-12-06,164.29,167.8799,164.28,165.32,107497000
